book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
16766298-ebf8-411c-b45a,27126090-bc8c-4bc1-b430-7998883c4f89,31,title-2712609,75,2012-01-01T00:00:00.000Z,createdBy.1m529@example.org,2007-10-23T00:00:00.000Z,modifiedBy.1m529@example.net
16766298-ebf8-411c-b45a,27126102-835d-4282-a1de-4536dde1dbf2,9,title-2712610,2,2021-10-01T00:00:00.000Z,createdBy.1m52a@example.net,2021-06-24T00:00:00.000Z,modifiedBy.1m52a@example.com
16766298-ebf8-411c-b45a,2712611f-5966-450c-a4f1-46f75ff3eb01,46,title-2712611,17,2002-09-08T00:00:00.000Z,createdBy.1m52b@example.com,2005-12-31T00:00:00.000Z,modifiedBy.1m52b@example.net
16766298-ebf8-411c-b45a,27126121-3c09-4556-b718-e2e0bcc2af46,11,title-2712612,20,2016-07-01T00:00:00.000Z,createdBy.1m52c@example.org,2007-11-13T00:00:00.000Z,modifiedBy.1m52c@example.com
16766298-ebf8-411c-b45a,27126138-c9bd-448f-a1a7-111775e8ef65,64,title-2712613,78,2004-04-11T00:00:00.000Z,createdBy.1m52d@example.com,2006-08-19T00:00:00.000Z,modifiedBy.1m52d@example.org
16766298-ebf8-411c-b45a,27126148-ba06-43d5-b2d6-1e6b5e68248c,90,title-2712614,40,2000-12-19T00:00:00.000Z,createdBy.1m52e@example.com,2003-10-31T00:00:00.000Z,modifiedBy.1m52e@example.com
16766298-ebf8-411c-b45a,27126153-303f-4592-8c15-db6b47463daa,83,title-2712615,6,2021-05-19T00:00:00.000Z,createdBy.1m52f@example.com,2004-05-21T00:00:00.000Z,modifiedBy.1m52f@example.com
16766298-ebf8-411c-b45a,27126163-f6ce-4871-b08f-edf6c1dba391,83,title-2712616,56,2020-12-04T00:00:00.000Z,createdBy.1m52g@example.org,2002-04-19T00:00:00.000Z,modifiedBy.1m52g@example.net
16766298-ebf8-411c-b45a,27126179-7b98-45d7-aa65-2c9909173baa,58,title-2712617,66,2018-07-27T00:00:00.000Z,createdBy.1m52h@example.com,2018-09-23T00:00:00.000Z,modifiedBy.1m52h@example.com
16766298-ebf8-411c-b45a,27126188-b424-4854-b457-5f8cc63eedbb,64,title-2712618,89,2006-03-26T00:00:00.000Z,createdBy.1m52i@example.net,2001-11-14T00:00:00.000Z,modifiedBy.1m52i@example.com
